id,square,fold
efaef69e148d,22.9676909541,4
3f3e362dea23,22.9679760819,0
a5fea424990e,22.9764891814,1
4e7bc95552ed,23.0347774374,2
4dc8a7fe7c02,23.0427202815,3
a1038b207299,23.084186001,4
c2fd64144e97,23.097301877,0
781c5338fe02,23.1490729275,1
bb2f95262773,23.1793372002,2
1e6f48393e17,23.1932269943,3
c8d52e0ba341,23.240354536,4
93881caf9f70,23.2609651981,0
364923a5002f,23.2617391163,1
fc237174b128,23.271026134,2
5588758ee21c,23.2745698644,3
0d53224da2b7,23.304141684,4
b1a27da4f01c,23.3212086157,0
d46244bc42ed,23.3225120568,1
888e04d96663,23.3348947471,2
364fd5fd7569,23.3405565693,3
9d8c465a0881,23.3578678962,4
2af7c265531e,23.3711467023,0
02159e548029,23.4750553962,1
42d81612e2ce,23.4834055657,2
34b0c08544a5,23.4943626173,3
82f72273d23e,23.5548911627,4
e1d2c25f3510,23.5642189129,0
d9b2ded58b72,23.5875993874,1
1ae8a68a40e4,23.7015282847,2
5ab34f0e3ea5,23.7985124479,3
189a2a32a615,23.8438477581,4
795d2ee07ce2,23.861770073,0
8b88fb784951,23.9296304745,1
6bfd601be25e,23.9422168274,2
65051cfe0789,23.9602206074,3
28d7fb5ba432,23.9793241658,4
1a17a1bd648b,23.9840898723,0
9274d0b3caa8,24.0638441736,1
1ba84b81628e,24.1133749348,2
f591b4f2e006,24.1167150026,3
c7145a80089e,24.1180591762,4
cd2e588ef1c5,24.1438836027,0
562706000bd7,24.2072634254,1
cf89c3220bc4,24.2408677659,2
90b65c521a8b,24.2553278154,3
717689f3e788,24.2611525678,4
51f1cdf5f539,24.2710505735,0
5bc30efeb7bf,24.3653463895,1
d8e1c401ac3c,24.3998875782,2
dd70a0a51e3b,24.4116592805,3
f00905abd3d7,24.4768313347,4
2267f4aa0d2c,24.5314129301,0
42a3297ccd4b,24.5537343587,1
68fcee2be01f,24.5900270464,2
ce74dfdf123b,24.6175622393,3
c3614abc7405,24.6323074166,4
eefc0d8c94f0,24.6618385036,0
cf5add31c130,24.7090475104,1
33a310ea7462,24.7455438608,2
98ee0624de87,24.8124266814,3
0eeaf1ff136d,24.9435854406,4
528eb34a4c29,24.9499804484,0
0de66245f268,24.9512838895,1
9ab2a45de8c7,24.9637887774,2
c353e364e931,24.9728313999,3
8d1a6723c458,25.0145415146,4
3d7a1030deeb,25.0221177659,0
86c10c8c6206,25.0621985792,1
351c583eabd6,25.0666384254,2
de74550a306a,25.1488774114,3
419687d50dcd,25.1952717675,4
88bc32b9e1d9,25.3210130996,0
85bc655a7523,25.3527437435,1
d1a3af34e674,25.3606865876,2
125cadcb9feb,25.5795424922,3
0ce66b539f52,25.7141635167,4
0d3adbbc9a8b,25.9061766814,0
11acc40dc0ea,25.9830797054,1
4e5ac4b9f074,26.0071933655,2
bd8d5780ed04,26.0297999218,3
2990f858e939,26.0629562044,4
6c0cd487abcd,26.0647484359,0
f4cd1286d5f4,26.0870291319,1
c3dafdb02e7f,26.0873957247,2
69915dab0755,26.0890250261,3
c6f50d44f141,26.1487796533,4
8603668953a6,26.1632397028,0
6752de44b721,26.2196135297,1
b58cc561e560,26.2273119786,2
00087a6bd4dc,26.3131761601,3
2a4a8964ebf3,26.3148869265,4
e597d76a0c33,26.4136633212,0
32ff007d9505,26.4267791971,1
c7a94c46a3b2,26.5693023332,2
6131a03dd028,26.5749641554,3
fd9da5d0bb6f,26.809542818,4
1c5748340af8,26.8117423749,0
bad53871c7d9,26.8853460636,1
cafee4122080,26.9294186653,2
154ee2b6d27a,27.0965849844,3
03a857ce842d,27.1242831074,4
34defeec3ce6,27.2309208811,0
e6892bf10d31,27.2841583029,1
fb1b923dd978,27.2904311131,2
f3b482e091c0,27.3312043796,3
eaf9eb0b2293,27.3935658889,4
a56f923399ca,27.4193088504,0
f707d6fbc0cd,27.4378828858,1
ed13cbcdd5d8,27.4814666971,2
6d21aad248e4,27.5219141032,3
85cba1a00135,27.541424987,4
78bfb9c780db,27.6267189129,0
292f59c6a347,27.6509140381,1
6f6dced498c4,27.655028024,2
4fc2470c0f7b,27.7004040667,3
a46baa0b3ac0,27.9097285584,4
54ee69d7d5e5,28.0172624479,0
553c658b9efa,28.3832035323,1
fdc2c87853ce,28.4254839025,2
1b25ea8ba94d,28.4805542883,3
dc995bf5296a,28.5928131517,4
fecea3036c59,28.6481279327,0
2cb06c1f5bb1,28.6860499218,1
fff9b3a5373f,28.7321998827,2
5a194c1384f3,29.0196086418,3
d0392fd5feb6,29.1058394161,4
6ae670e86620,29.1703597497,0
c9acf5847ef1,29.2183019421,1
2c57132da7a0,29.4651410975,2
344ece157efc,29.4698660714,3
f3eee6348205,29.4716990355,4
26ccab021981,29.5413109359,0
880ab8468df2,29.5944261601,1
169f5f6d8c9d,29.628600756,2
d61b6bfeabb2,29.7237112226,3
ae296a20fdd9,31.1322422445,4
db09fec614d2,31.3693870568,0
dc1c5c2b9e49,31.4730513556,1
4baf50a3d8c2,31.4960245047,2
4f0397cf7937,32.1245682351,3
1390696b70b6,32.1636307351,4
d22e6a2ca6df,32.1649749088,0
eb91b1c659a0,32.6309550965,1
99639c826ea5,33.1564455162,2
630335e37f40,33.2023510819,3
3cb21125f126,33.4293942258,4
5bcde75955bb,34.0962265381,0
4a4364d7fc6d,34.1958175834,1
21a7e6726ee3,34.5248957247,2
7ab9747cf6d7,34.8609391293,3
683ddec95b82,35.4028854927,4
6d77433cc7ce,35.6413337461,0
0ed6904e1004,36.056520464,1
42b3feca1993,36.1098393509,2
f1eb080c7182,36.1180673227,3
c502287be9f6,37.2666025808,4
9a2bfb24ba6e,37.3123044838,0
61060ada97c9,40.1493254692,1
858841907a4a,40.1969825339,2
